mannenhuys          	mAn@nh9ys           	mAn@nhYis           
materie             	ma:t@ri             	mAt@i               
matrimony           	ma:trimo:ni         	mAtrImOni           
meerder             	m@rd@r              	m@rd@               
meester             	m@st@r              	m@st@               
meesters            	m@st@rs             	m@st@s              
meeters             	m@t@rs              	m@t@s               
meid                	mEit                	m@t                 
meisje              	mEisj@              	m@sj@               
meisjes             	mEisj@s             	m@sj@s              
menageeren          	m@na:Z@r@n          	m@nAx@r@n           
menschen            	m@ns@n              	m@nsx@n             
merken              	m@rk@n              	m@k@n               
meug                	m2:x                	m@x                 
meugje              	m2:xj@              	m@xj@               
meugt               	m2:xt               	m@xt                
minder              	mInd@r              	mInd@               
mitsgaders          	mItsxa:d@rs         	mItsxAd@s           
mitsgarder          	mItsxa:rd@r         	mItsxA*rd@          
mogen               	mo:x@n              	mOx@n               
mogten              	mo:xt@n             	mOxt@n              
morgen              	mOrx@n              	mO*rx@n             
morgens             	mOrx@ns             	mO*rx@ns            
mortje              	mOrtj@              	mO*rtj@             
mostert             	mOst@rt             	mOst@t              
murruwer            	mYrryw@r            	mA*rryu@r           
murw                	mYrw                	mA*rw               
musicaale           	mysika:l@           	mYsIkAl@            
myner               	min@r               	min@                
myns                	mins                	mIns                
naajen              	na:j@n              	na:i@n              
nagel               	na:x@l              	nAx@l               
narree              	na:r@               	nA*rr@              
naspreekende        	na:spr@k@nd@        	nAspr@k@nd@         
nederigheid         	n@d@rIghEit         	n@d@Ig@t            
neus                	n2:s                	n@s                 
neusdoek            	n2:sduk             	n@sduk              
neutekraaker        	n2:t@kra:k@         	n@t@kra:k@          
neuten              	n2:t@n              	n@t@n               
notaris             	no:ta:rIs           	nOtA*rIs            
november            	nOv@mb@r            	nOv@mb@             
nuyts               	n9yts               	nYIts               
officier            	Ofisir              	OfIs@               
onder               	Ond@r               	Ond@                
onderdanig          	Ond@rdAnIg          	Ond@dAnIg           
onderschryven       	Ond@rsxriv@n        	Ond@sxriv@n         
onderst             	Ond@rst             	Ond@st              
ondertusschen       	Ond@rtYs@n          	Ond@tYsx@n          
ondervonden         	Ond@rvOnd@n         	Ond@vOnd@n          
onderweeg           	Ond@rw@x            	Ond@w@x             
onderwerp           	Ond@rw@rp           	Ond@w@p             
onderwinden         	Ond@rwInd@n         	Ond@wInd@n          
onderwylen          	Ond@rwil@n          	Ond@wil@n           
ongderhouwen        	ONd@rhAuw@n         	ONd@hAuw@n          
ongevraagd          	ON@rvra:xt          	ON@vra:xt           
onthoud             	OnthAut             	OntAut              
ontkleed            	OntklEit            	Ontkl@t             
opereeren           	Op@r@r@n            	Op@@r@n             
opgeschort          	Opx@sxOrt           	Opx@sxO*rt          
opmerking           	Opm@rkIN            	Opm@kIN             
oprecht             	Opr@xt              	Opr@t               
oprechtende         	Opr@xt@nd@          	Opr@t@nd@           
ordinary            	Ordina:ri           	O*rdInA*ri          
ordonnantie         	OrdOnAnti           	O*rdOnAnti          
ordonneeren         	OrdOn@r@n           	O*rdOn@r@n          
oreeren             	o:r@r@n             	O*r@r@n             
ouderloose          	Aud@rlo:s@          	Aud@lo:s@           
over                	Ov@r                	Ov@                 
overboodig          	Ov@rbo:dIg          	Ov@bo:dIg           
overende            	Ov@r@nd@            	Ov@@nd@             
overgemerckt        	Ov@rx@m@rkt         	Ov@x@m@kt           
overlang            	Ov@rlAN             	Ov@lAN              
overleggen          	Ov@rl@x@n           	Ov@l@x@n            
overluid            	Ov@rl9yt            	Ov@l9yt             
overschaduwen       	Ov@rsxAdyu@n        	Ov@sxAdyu@n         
overslaan           	Ov@rsla:n           	Ov@sla:n            
overweegen          	Ov@rw@x@n           	Ov@w@x@n            
paciensy            	pAsi@nsi            	pAs@nsi             
pacquet             	pAkk@t              	pAkkw@t             
part                	pArt                	pA*rt               
parthy              	pArti               	pA*rti              
parthyen            	pArti@n             	pA*rtin             
parthys             	pArtis              	pA*rtis             
particulier         	pArtikylir          	pA*rtIklir          
party               	pArti               	pA*rti              
partyen             	pArti@n             	pA*rtin             
peis                	pEis                	p@s                 
periode             	p@rio:d@            	p@io:d@             
persisteeren        	p@rsIst@r@n         	p@sIst@r@n          
peur                	p2:r                	p@r                 
peurd               	p2:rt               	p@rt                
phlegmatiecq        	phl@xmAtik          	phl@xmAtikk         
pieter              	pit@r               	pit@                
pinkster            	pInkst@r            	pInkst@             
pleidooijeeren      	plEido:i@r@n        	pl@do:i@r@n         
pleidooijen         	plEido:i@n          	pl@do:i@n           
pleidooy            	plEido:i            	pl@do:i             
pleidoyeeren        	plEido:i@r@n        	pl@do:i@@@n         
pleit               	plEit               	pl@t                
pleiten             	plEit@n             	pl@t@n              
pleiters            	plEit@rs            	pl@t@s              
pleitrok            	plEitrOk            	pl@trOk             
pleitzak            	pleitzAk            	pl@tzAk             
pluimer             	pl9ym@r             	pl9ym@              
poëtiecque         	po:@tik@            	putikkw@            
praater             	pra:t@r             	pra:t@              
precautioneel       	pr@kAutio:n@l       	pr@kYtio:n@l        
prepareeren         	pr@pa:r@r@n         	pr@pA*r@r@n         
presentacy          	pr@s@ntasi          	pr@s@ntAs           
president           	pr@sid@nt           	pr@sId@nt           
presidents          	pr@sid@nts          	pr@sId@nts          
preutse             	pr2:ts@             	pr@ts@              
prezident           	pr@zid@nt           	pr@zId@nt           
primis              	primIs              	prImIs              
primo               	primo:              	prImo:              
privilegie          	privil@Zi           	prIvIl@xi           
probeeren           	pro:b@r@n           	prOb@r@n            
procedant           	pro:s@dAnt          	prOk@dAnt           
proces              	pro:s@s             	prOk@s              
processe            	pro:s@s@            	prOk@s@             
procureurs          	pro:kyr2:rs         	prOkr@rs            
produceeren         	pro:dys@r@n         	prOdYk@r@n          
prolix              	pro:lIks            	prOlIks             
prolongatie         	pro:lONa:ti         	prOlONAti           
pronuncieeren       	pro:nYnsi@r@n       	prOnYns@r@n         
protextie           	prOt@kti            	prOt@ti             
prykt               	prikt               	prIkt               
prytje              	pritj@              	prItj@              
publyk              	pyblik              	pYblIk              
puiterveen          	p9yt@rv@n           	p9yt@v@n            
puiterveenen        	p9yt@rv@n@n         	p9yt@v@n@n          
puur                	pyr                 	pyu@s               
qualitate           	kwa:lita:t@         	kwAlItAt@           
qualiteit           	kwa:litEit          	kwAlIt@t            
qualiteyt           	kwa:litEit          	kwAlIt@t            
quartus             	kwArtYs             	kwA*rtYs            
rangeeren           	rAnZ@r@n            	rAN@r@n             
rapsody             	rApso:di            	rApsOdi             
recht               	r@xt                	r@t                 
rechtbank           	r@xtbAnk            	r@tbAnk             
rechtbankzaamen     	r@xtbAnkza:m@n      	r@tbAnkza:m@n       
rechte              	r@xt@               	r@t@                
rechten             	r@xt@n              	r@t@n               
rechter             	r@xt@r              	r@t@                
rechters            	r@xt@rs             	r@t@s               
rechthuis           	r@xth9ys            	r@t9ys              
rechts              	r@xts               	r@ts                
rechtsgeding        	r@xtsx@dIN          	r@tsx@dIN           
rechtsgedingen      	r@xtsx@dIN@n        	r@tsx@dIN@n         
rechtsgeleerden     	r@xtsx@l@rd@n       	r@tsx@l@rd@n        
rechtskaamer        	r@xtska:m@          	r@tska:m@           
recitatief          	r@sita:tif          	r@stAtif            
refuseeren          	r@fys@r@n           	r@fYs@r@n           
reinigen            	rEinIx@n            	r@nIx@n             
reis                	rEis                	r@s                 
