geduld              	x@dYlt              
geduldig            	x@dYldIg            
gedulds             	x@dYlds             
geef                	x@f                 
geeft               	x@ft                
geen                	x@n                 
geerne              	x@rn@               
geest               	x@st                
geestig             	x@stIg              
geeven              	x@v@n               
gegaan              	x@xa:n              
gegeeven            	x@x@v@n             
gehad               	x@hAt               
geheel              	x@h@l               
geheelt             	x@h@lt              
geheeten            	x@h@t@n             
gehouden            	x@hAud@n            
gehouwen            	x@hAuw@n            
gek                 	x@k                 
gekeelt             	x@k@lt              
gekleed             	x@kl@t              
gekoomen            	x@ko:m@n            
gelaat              	x@la:t              
gelag               	x@lAx               
geld                	x@lt                
geleden             	x@l@d@n             
geleeden            	x@l@d@n             
geleerd             	x@l@rt              
geleezen            	x@l@z@n             
geleên             	x@l@n               
gelegt              	x@l@xt              
gelen               	x@l@n               
gelet               	x@l@t               
geliefden           	x@lifd@n            
gelieven            	x@liv@n             
geloofbaare         	x@lo:fba:r@         
geloogen            	x@lo:x@n            
geloopen            	x@lo:p@n            
gelooven            	x@lo:v@n            
gelubde             	x@lYbd@             
gemaakt             	x@ma:kt             
gemaklyk            	x@mAklIk            
gemeen              	x@m@n               
gemoed              	x@mut               
gemoet              	x@mut               
genaamd             	x@na:mt             
genaamt             	x@na:mt             
genegen             	x@n@x@n             
genieten            	x@nit@n             
genigen             	x@nIx@n             
genoeg              	x@nux               
genood              	x@no:t              
genoomen            	x@no:m@n            
genootsaakt         	x@no:tsa:kt         
gepaerd             	x@pa:rt             
geplaatst           	x@pla:tst           
gepleeten           	x@pl@t@n            
gepruilt            	x@pr9ylt            
geschieden          	x@sxid@n            
geschiet            	x@sxit              
geschiên           	x@sxin              
geschut             	x@sxYt              
geselschap          	x@s@lsxAp           
geslacht            	x@slAxt             
geslagt             	x@slAxt             
gesloopen           	x@slo:p@n           
gesnap              	x@snAp              
gesoen              	x@sun               
gesol               	x@sOl               
gespannen           	x@spAn@n            
gesprek             	x@spr@k             
gesprooten          	x@spro:t@n          
gestaan             	x@sta:n             
gesteld             	x@st@lt             
gestoffeert         	x@stOf@rt           
gestommel           	x@stOm@l            
gestooken           	x@sto:k@n           
gestoolen           	x@sto:l@n           
gestooven           	x@sto:v@n           
gestreeken          	x@str@k@n           
get                 	x@t                 
getalm              	x@tAlm              
getreeden           	x@tr@d@n            
getrouwd            	x@trAuwt            
getuigen            	x@t9yx@n            
getuignis           	x@t9yxnIs           
geval               	x@vAl               
geven               	x@v@n               
gevoerd             	x@vurt              
gevoert             	x@vurt              
gevolg              	x@vOlx              
gevolgt             	x@vOlxt             
